Batch,Speed,BatchQty,Para1Tgt,Para1,Para2Tgt,Para2,Para3,Para4,Para5,Para6,Para7,Para8,Para9,Para10,Para11,Para12,Para13,Para14,Para15,Para16,Para17,Para18,Para19,Para20,Para21,Para22,Para23
71,0.028169014084507043,0.0,0.014084507042253521,0.0,0.014084507042253521,0.0,0.0,0.056338028169014086,0.0,0.0,0.0,0.0,0.07042253521126761,0.0,0.0,0.0,0.0,0.0,0.0,0.028169014084507043,0.0,0.0,0.0,0.0,0.0,0.0,0.014084507042253521
72,0.027777777777777776,0.0,0.013888888888888888,0.0,0.013888888888888888,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.06944444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.013888888888888888
73,0.0273972602739726,0.0,0.0136986301369863,0.0,0.0136986301369863,0.0,0.0,0.0547945205479452,0.0,0.0,0.0,0.0,0.0684931506849315,0.0,0.0,0.0,0.0,0.0,0.0,0.0273972602739726,0.0,0.0,0.0136986301369863,0.0,0.0,0.0,0.0136986301369863
74,0.02702702702702703,0.0,0.013513513513513514,0.0,0.013513513513513514,0.0,0.0,0.05405405405405406,0.0,0.0,0.0,0.0,0.06756756756756757,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.013513513513513514,0.0,0.013513513513513514,0.0,0.013513513513513514
75,0.02666666666666667,0.0,0.013333333333333334,0.0,0.013333333333333334,0.0,0.0,0.05333333333333334,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.02666666666666667,0.0,0.0,0.013333333333333334,0.0,0.013333333333333334,0.0,0.013333333333333334
76,0.02631578947368421,0.0,0.013157894736842105,0.0,0.013157894736842105,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.06578947368421052,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.013157894736842105,0.0,0.013157894736842105,0.0,0.013157894736842105
77,0.025974025974025976,0.0,0.012987012987012988,0.0,0.012987012987012988,0.0,0.0,0.05194805194805195,0.0,0.0,0.0,0.0,0.06493506493506493,0.0,0.0,0.0,0.0,0.0,0.0,0.025974025974025976,0.0,0.0,0.012987012987012988,0.0,0.012987012987012988,0.0,0.012987012987012988
78,0.02564102564102564,0.0,0.01282051282051282,0.0,0.01282051282051282,0.0,0.0,0.05128205128205128,0.0,0.0,0.0,0.0,0.0641025641025641,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.01282051282051282,0.0,0.01282051282051282,0.0,0.01282051282051282
79,0.02531645569620253,0.0,0.012658227848101266,0.0,0.012658227848101266,0.0,0.0,0.05063291139240506,0.0,0.0,0.0,0.0,0.06329113924050633,0.0,0.0,0.0,0.0,0.0,0.0,0.02531645569620253,0.0,0.0,0.012658227848101266,0.0,0.012658227848101266,0.0,0.012658227848101266
80,0.025,0.0,0.0125,0.0,0.0125,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0125,0.0,0.0125,0.0,0.0125,0.0,0.0125
81,0.024691358024691357,0.0,0.012345679012345678,0.0,0.012345679012345678,0.0,0.0,0.04938271604938271,0.0,0.0,0.0,0.0,0.06172839506172839,0.0,0.0,0.0,0.0,0.0,0.0,0.024691358024691357,0.012345679012345678,0.0,0.012345679012345678,0.0,0.012345679012345678,0.0,0.012345679012345678
82,0.024390243902439025,0.0,0.012195121951219513,0.0,0.012195121951219513,0.0,0.0,0.04878048780487805,0.0,0.0,0.0,0.0,0.06097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.012195121951219513,0.0,0.012195121951219513,0.0,0.012195121951219513,0.0,0.012195121951219513
